doi,url
10.1111/j.1365-2486.2011.02512.x,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2486.2011.02512.x
10.1002/zaac.201400517,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1002/zaac.201400517
10.1111/avj.12103,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/avj.12103
10.1145/1467247.1467265,https://dl.acm.org/citation.cfm?doid=1467247.1467265
10.1111/j.1467-923x.2012.02271.x,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1467-923X.2012.02271.x
10.1364/oe.22.022308,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-22-19-22308
10.1002/adem.201100082,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1002/adem.201100082
10.1002/aic.14493,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1002/aic.14493
10.1002/app.37983,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1002/app.37983
10.3923/ijp.2012.30.38,http://www.scialert.net/abstract/?doi=ijp.2012.30.38
10.1002/anie.201410672,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1002/anie.201410672
10.1002/eat.22102,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1002/eat.22102
10.1002/pi.4477,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1002/pi.4477
10.1111/ijfs.12642,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/ijfs.12642
10.1002/prot.22988,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1002/prot.22988
10.1111/j.1447-0756.2010.01324.x,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1447-0756.2010.01324.x
10.5897/ajmr11.1594,http://academicjournals.org/login
10.1111/j.1365-2842.2011.02202.x,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1365-2842.2011.02202.x
10.1111/j.1538-7836.2011.04494.x,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1538-7836.2011.04494.x
