doi,url
10.1093/ndt/gfs278,RequestException
10.1515/hsz-2012-0246,timeout
10.1088/0256-307x/28/1/014204,timeout
10.1039/b811630j,RequestException
10.1039/c4nr07262f,RequestException
10.1039/c3cc38783f,RequestException
10.1039/c1jm14459f,RequestException
10.1109/tsp.2015.2413384,timeout
10.1227/neu.0b013e3182889e27,RequestException
10.1093/nar/gks243,RequestException
10.1097/dbp.0b013e3182168f95,tooManyRedirects
10.1021/jf401837a,timeout
10.1074/jbc.m113.540088,timeout
10.1128/jvi.00728-12,timeout
10.1088/1751-8113/42/5/055303,timeout
10.1093/nar/gkp350,RequestException
10.1039/c3dt53594k,RequestException
10.1109/tcad.2013.2284109,timeout
10.1089/ten.tea.2007.0358,timeout
10.1093/bioinformatics/btt439,RequestException
10.1111/j.1096-3642.2009.00480.x,RequestException
10.1111/j.1095-8312.2009.01201.x,RequestException
10.1097/pep.0b013e3182691c48,tooManyRedirects
10.1093/jac/dks431,RequestException
10.1097/brs.0b013e3181e574f5,tooManyRedirects
10.1088/0022-3727/47/14/145204,timeout
10.1039/c4ra14617d,RequestException
10.1097/mib.0000000000000408,tooManyRedirects
10.1088/1367-2630/13/4/045017,timeout
10.1088/0004-637x/693/1/847,timeout
10.1093/rheumatology/keu254,RequestException
10.1039/c5cc05902j,RequestException
10.1088/0951-7715/28/8/2743,timeout
10.1016/j.asj.2009.02.007,RequestException
10.1039/b813498g,RequestException
10.1039/b807345g,RequestException
10.1039/c5ra15890g,RequestException
10.1111/j.1471-4159.2009.06482.x,timeout
10.1039/c0cc03153d,RequestException
10.1109/jlt.2009.2024172,timeout
10.1039/c2ra20393f,RequestException
10.1109/lawp.2010.2041629,timeout
10.1097/aln.0000000000000567,tooManyRedirects
10.1093/restud/rds029,RequestException
10.1039/c2cp42014g,RequestException
10.1093/comjnl/bxs167,RequestException
10.1038/ncomms3049,timeout
10.1109/tbc.2008.2007457,timeout
10.1017/s0956796813000312,timeout
10.3390/s100302119,RequestException
10.1097/coc.0b013e31829e19fb,tooManyRedirects
10.1210/jc.2009-0645,RequestException
10.1109/jsac.2010.100907,timeout
10.1111/j.1365-2966.2010.16909.x,RequestException
10.1088/0067-0049/195/2/23,timeout
10.2522/ptj.20110414,RequestException
10.1097/mph.0b013e318211834e,tooManyRedirects
10.1177/0333102410388435,timeout
10.1167/iovs.14-15968,timeout
10.1097/bpo.0b013e31821c3de2,tooManyRedirects
10.1039/b908397a,RequestException
10.1039/c5ta04157k,RequestException
10.1210/me.2009-0184,RequestException
10.1039/c1mt00008j,RequestException
10.7754/clin.lab.2012.111117,RequestException
10.1038/nature15733,timeout
10.1039/c3cc46999a,RequestException
10.1093/jnci/djp122,RequestException
10.1111/j.1399-5448.2012.00864.x,timeout
10.1130/g30576.1,timeout
10.1088/0960-1317/20/7/075027,timeout
10.1039/b923063g,RequestException
10.1088/0004-637x/799/2/189,timeout
10.1039/c2ja00007e,RequestException
10.1111/cgf.12433,timeout
10.1093/nar/gkq1211,RequestException
10.1088/1751-8113/43/26/265303,timeout
10.1039/b822799c,RequestException
10.1287/moor.2013.0625,timeout
10.1088/0957-4484/25/3/035202,timeout
10.1039/c4cp02279c,RequestException
10.1039/b618635c,RequestException
10.1088/0029-5515/53/3/033011,timeout
10.1093/mnras/stt444,timeout
10.3390/nu7064555,RequestException
10.1039/c3ee42446d,RequestException
10.1088/1367-2630/16/1/015023,timeout
10.4314/sajas.v43i1.4,timeout
10.1167/13.8.2,timeout
10.1093/mnras/sts604,timeout
10.1017/s1365100512000466,timeout
10.1051/epjap/2014140348,timeout
10.1016/j.rmed.2011.06.015,timeout
10.1088/0256-307x/27/9/098901,timeout
10.1002/ejoc.201300075,timeout
10.1039/c5ay01243k,RequestException
10.1515/hf.2011.128,timeout
10.1039/c2nr30892d,RequestException
10.1039/c5ra07838e,RequestException
10.1039/c4tc00944d,RequestException
10.1197/jamia.m2647,RequestException
10.1002/ece3.992,timeout
10.7314/apjcp.2014.15.3.1327,timeout
10.1039/c3ta15435a,RequestException
10.1093/cvr/cvn294,RequestException
10.1039/c0ce00252f,RequestException
10.1111/j.1754-0208.2010.00279.x,timeout
10.1002/ejic.201402836,timeout
10.1093/mnras/stt1405,timeout
10.1093/jsh/sht034,RequestException
10.1039/c3ob40140e,RequestException
10.1097/pcc.0000000000000412,tooManyRedirects
10.1088/1748-0221/4/12/t12001,timeout
10.1002/dneu.20720,timeout
10.1093/jpepsy/jsq062,RequestException
10.1088/1009-0630/15/8/15,timeout
10.1088/0953-8984/26/5/055006,timeout
10.1039/c3ra43269f,RequestException
10.1088/0004-637x/760/2/130,timeout
10.1095/biolreprod.115.131433,RequestException
10.5433/1679-0359.2015v36n2p693,timeout
10.1097/bpb.0b013e3283415941,tooManyRedirects
10.1109/jstsp.2010.2052346,timeout
10.1109/lgrs.2014.2309695,timeout
10.1039/c1rp90009a,RequestException
10.1111/j.1532-849x.2012.00921.x,timeout
10.1097/inf.0b013e31825eaed0,tooManyRedirects
10.1097/bot.0000000000000359,tooManyRedirects
10.1039/c5sc00988j,RequestException
10.1097/aci.0b013e32834a9540,tooManyRedirects
10.1093/ptep/ptv134,RequestException
10.3390/rel2030345,RequestException
10.1093/alcalc/agt177,timeout
10.1351/pac-con-10-10-29,timeout
10.1017/s1471068412000142,timeout
10.1093/hwj/dbv018,RequestException
10.1039/c4ta05686h,RequestException
10.1002/jhet.357,timeout
10.1039/c4cc01109k,RequestException
10.1111/tpj.12248,timeout
10.1093/occmed/kqn171,RequestException
10.1093/chromsci/bmr049,RequestException
10.1177/1059840510376384,timeout
10.1097/bsd.0b013e31826103f2,tooManyRedirects
10.1097/meg.0b013e3283508d45,tooManyRedirects
10.1524/teme.2012.0197,timeout
10.1287/moor.1120.0557,timeout
10.1088/0268-1242/30/12/125001,timeout
10.1097/mcc.0b013e3283220dc7,tooManyRedirects
10.1039/b814278e,RequestException
10.1097/brs.0b013e3181b4ea1e,tooManyRedirects
10.5665/sleep.2884,RequestException
10.1161/atvbaha.112.300317,timeout
10.1093/scipol/sct022,RequestException
10.1039/b923175g,RequestException
10.1210/jc.2014-2731,RequestException
10.1097/prs.0b013e318208d03c,tooManyRedirects
10.1093/ndt/gfv072,RequestException
10.1093/aob/mcn213,RequestException
10.3390/met4030314,RequestException
10.1095/biolreprod.113.110874,RequestException
10.1039/c5cp00357a,RequestException
10.1039/c2pp25357g,RequestException
10.1088/1612-2011/12/2/025003,timeout
10.1039/c5ra04008f,RequestException
10.1016/j.asj.2008.12.001,RequestException
10.1016/j.ejon.2009.07.001,timeout
10.1016/j.jaapos.2015.04.007,timeout
10.1039/c4cc06600f,RequestException
10.7567/jjap.52.012601,timeout
10.1214/15-sts512,timeout
10.1088/1748-3182/8/2/025002,timeout
10.1097/igc.0b013e318276dd87,tooManyRedirects
10.1016/j.jfa.2012.03.008,timeout
10.1016/j.jelectrocard.2009.12.003,timeout
10.1371/journal.pone.0136606,timeout
10.3168/jds.2012-5847,timeout
10.1016/j.ast.2010.09.001,timeout
10.1093/nar/gkn857,RequestException
10.1161/jaha.114.000965,timeout
10.1097/mpg.0000000000000553,tooManyRedirects
10.1115/1.3085826,timeout
10.1039/c1nr10371g,RequestException
10.1016/j.tree.2011.01.009,timeout
10.1016/j.leukres.2010.05.021,timeout
10.5012/bkcs.2010.31.9.2701,timeout
10.1167/iovs.14-15985,timeout
10.1016/j.jacr.2010.05.005,timeout
10.1016/j.ijleo.2009.02.009,timeout
10.1016/j.pep.2015.02.006,timeout
10.1016/j.endeavour.2010.04.002,timeout
10.1016/j.canlet.2011.09.035,timeout
10.1016/j.otsr.2015.09.030,timeout
10.1039/c4ra07913b,RequestException
10.2459/jcm.0b013e328329ea03,tooManyRedirects
10.1016/j.ijpara.2009.11.002,timeout
10.1016/j.electacta.2009.07.030,timeout
10.1111/j.1399-6576.2008.01803.x,timeout
10.1016/j.envint.2013.08.010,timeout
10.1093/infdis/jir441,RequestException
10.1093/ntr/ntv022,RequestException
10.1039/c1sm05096f,RequestException
10.1039/c3ta01444d,RequestException
10.1039/c3tb21716g,RequestException
10.1016/j.tcs.2010.11.014,timeout
10.1088/0256-307x/31/3/037306,timeout
10.1039/c5cp02883c,RequestException
10.1128/aac.00443-15,timeout
10.7314/apjcp.2012.13.11.5857,timeout
10.1016/j.colsurfa.2012.03.026,timeout
10.1088/0004-637x/700/2/l154,timeout
10.1088/1748-6041/10/3/035002,timeout
10.1039/c0sm00554a,RequestException
10.1210/me.2013-1130,RequestException
10.1016/j.pdpdt.2012.03.002,timeout
10.1039/c1cc11909e,RequestException
10.1016/j.amepre.2011.06.046,timeout
10.1093/mollus/eyp033,RequestException
10.1097/aog.0000000000000053,tooManyRedirects
10.1111/j.1600-0536.2012.02170.x,timeout
10.1111/j.1365-2966.2012.21421.x,RequestException
10.1039/c4nr05024j,RequestException
10.1001/jamafacial.2013.671,timeout
10.1016/j.athoracsur.2011.02.033,timeout
10.1351/pac-con-12-05-03,timeout
10.1016/j.jsat.2014.05.011,timeout
10.1016/j.jbiosc.2009.06.020,timeout
10.1016/j.schres.2009.09.037,timeout
10.1097/tp.0b013e3181f9960d,tooManyRedirects
10.1097/pec.0b013e318280d663,tooManyRedirects
10.5229/jecst.2013.4.3.113,timeout
10.1093/bmb/ldr015,RequestException
10.1093/aje/kwq094,RequestException
10.1039/c5ra08119j,RequestException
10.1016/j.net.2014.08.001,timeout
10.1016/j.patrec.2009.08.005,timeout
10.1016/j.jpba.2014.01.037,timeout
10.1016/j.bbrc.2009.05.100,timeout
10.1016/j.eurpolymj.2013.02.032,timeout
10.1093/aje/kws378,RequestException
10.1016/j.jcrysgro.2014.10.004,timeout
10.1016/j.enzmictec.2013.07.008,timeout
10.1111/j.1365-2966.2011.19252.x,RequestException
10.1093/infdis/jir822,RequestException
10.1016/j.jcms.2014.08.003,timeout
10.1016/j.jnucmat.2011.11.054,timeout
10.1111/j.1524-4725.2010.01803.x,tooManyRedirects
10.1097/sap.0b013e318221286c,tooManyRedirects
10.1039/c5ra17504f,RequestException
10.1111/j.1467-9817.2013.01557.x,timeout
10.1016/j.bmcl.2015.10.038,timeout
10.1093/jxb/eru532,RequestException
10.1016/j.thromres.2015.05.016,timeout
10.1097/01.jaa.0000453870.77570.51,tooManyRedirects
10.1111/myc.12168,timeout
10.1287/orsc.2014.0914,timeout
10.1016/j.jbusres.2013.08.016,timeout
10.1016/j.scitotenv.2012.11.102,timeout
10.1016/j.cjche.2015.05.011,timeout
10.1097/cji.0b013e3181ee238f,tooManyRedirects
10.1016/j.jpowsour.2013.10.038,timeout
10.1523/jneurosci.5351-12.2013,timeout
10.1016/j.ccr.2008.10.019,timeout
10.1016/j.jmatprotec.2015.03.016,timeout
10.1016/j.atmosenv.2008.12.040,timeout
10.1016/j.talanta.2012.08.004,timeout
10.1016/j.jphotochem.2012.11.013,timeout
10.1093/mnras/sts180,timeout
10.1039/c1mb05140g,RequestException
10.1016/j.vetpar.2015.07.016,timeout
10.1016/j.bpc.2009.09.005,timeout
10.1039/c5dt00315f,RequestException
10.1016/j.resconrec.2012.12.006,timeout
10.1016/j.jenvrad.2014.08.001,timeout
10.1093/bioinformatics/btp501,RequestException
10.1227/neu.0b013e3181faa680,RequestException
10.1093/jae/ejs032,RequestException
10.1016/j.ahj.2008.12.018,timeout
10.1086/647945,RequestException
10.1016/j.chemolab.2013.07.002,timeout
10.1016/j.regpep.2013.07.001,timeout
10.1016/j.polymertesting.2011.08.008,timeout
10.1039/c5cp03450g,RequestException
10.1016/j.tsf.2009.07.081,timeout
10.1128/iai.00937-10,timeout
10.1093/jac/dku505,RequestException
10.1016/j.celrep.2015.08.056,timeout
10.1016/j.chb.2013.10.040,timeout
10.1016/j.mycmed.2012.09.005,timeout
10.1016/j.yjmcc.2014.06.001,timeout
10.1016/j.respol.2015.06.012,timeout
10.1016/j.jvs.2013.11.095,timeout
10.1093/gbe/evv214,RequestException
10.1039/c0nr00998a,RequestException
10.1016/j.mee.2013.03.058,timeout
10.1016/j.micres.2013.02.009,timeout
10.1093/qjmed/hcr023,RequestException
10.1510/icvts.2009.214395,timeout
10.1093/heapol/czt048,RequestException
10.1001/jamainternmed.2014.7386,timeout
10.1001/jama.2015.12735,timeout
10.1016/j.jorganchem.2013.12.027,timeout
10.1097/opx.0b013e318278153c,tooManyRedirects
10.1039/c5ta02210j,RequestException
10.1039/c2cc30757j,RequestException
10.1039/c5ra06864a,RequestException
10.1016/j.carbpol.2014.07.029,timeout
10.1002/ijc.28995,timeout
10.1016/j.biortech.2013.05.011,timeout
10.1097/nrl.0b013e31817acf1a,tooManyRedirects
10.1523/jneurosci.4616-10.2011,timeout
10.1016/j.jpcs.2009.12.066,timeout
10.1016/j.cej.2010.04.006,timeout
10.1093/medlaw/fwr020,RequestException
10.1016/j.jneumeth.2011.04.019,timeout
10.1016/j.adolescence.2010.09.002,timeout
10.1016/j.fuel.2014.07.059,timeout
10.1016/j.ces.2009.06.057,timeout
10.1016/j.cma.2013.02.011,timeout
10.1016/j.semcdb.2011.03.005,timeout
10.1016/j.biortech.2013.05.074,timeout
10.1016/j.tcs.2012.03.037,timeout
10.1016/j.chiabu.2013.07.011,timeout
10.1016/j.gene.2012.06.087,timeout
10.1093/aobpla/pls010,RequestException
10.1016/j.asr.2012.03.016,timeout
10.1016/j.fcr.2009.01.005,timeout
10.1088/0004-637x/704/2/1385,timeout
10.1088/0951-7715/26/1/201,timeout
10.1016/j.ecoleng.2008.09.007,timeout
10.1016/j.celrep.2015.03.055,timeout
10.1016/j.neulet.2013.03.058,timeout
10.1016/j.ijresmar.2011.04.003,timeout
10.1016/j.commatsci.2010.07.015,timeout
10.1016/s1003-9953(10)60159-4,timeout
10.1088/0004-637x/770/2/106,timeout
10.1016/j.jep.2012.09.016,timeout
10.2478/s11686-009-0057-8,timeout
10.1515/cclm-2014-0568,timeout
10.1016/j.biombioe.2010.12.025,timeout
10.1111/1556-4029.12179,timeout
10.1111/j.1743-6109.2012.02683.x,timeout
10.1016/j.clml.2013.04.007,timeout
10.1016/j.memsci.2010.01.010,timeout
10.1016/j.bej.2009.02.015,timeout
10.1016/j.agee.2009.05.004,timeout
10.1016/j.bbapap.2015.02.020,timeout
10.1016/j.ijrobp.2011.10.050,timeout
10.1016/j.commatsci.2013.09.067,timeout
10.1016/j.anifeedsci.2015.06.009,timeout
10.1002/cncr.25491,timeout
10.1016/j.chb.2012.03.016,timeout
10.1016/j.ejmech.2009.06.037,timeout
10.1016/j.desal.2008.06.026,timeout
10.1016/j.tet.2011.08.055,timeout
10.1016/j.lwt.2014.05.016,timeout
10.1016/j.atherosclerosis.2010.10.027,timeout
10.1161/strokeaha.109.566356,timeout
10.1039/c4ra14826f,RequestException
10.1002/anie.201105987,timeout
10.1016/j.econmod.2008.08.002,timeout
10.1016/j.jmva.2008.10.014,timeout
10.1016/j.ijsu.2012.08.003,timeout
10.1016/j.jcsr.2009.09.013,timeout
10.1016/j.buildenv.2009.10.005,timeout
10.1016/j.advwatres.2015.09.018,timeout
10.1016/j.polymdegradstab.2009.01.016,timeout
10.1016/j.tsf.2011.08.008,timeout
10.1016/j.brainres.2011.06.013,timeout
10.1097/ss.0b013e3181e93d3c,tooManyRedirects
10.1167/iovs.08-1920,timeout
10.1016/j.ijom.2014.01.014,timeout
10.1093/protein/gzs060,RequestException
10.1039/b808784a,RequestException
10.1016/j.nima.2010.06.248,timeout
10.1016/j.jnucmat.2013.02.063,timeout
10.1016/j.yofte.2014.06.006,timeout
10.1016/j.jbusres.2011.06.009,timeout
10.1016/j.archger.2008.04.009,timeout
10.1016/j.eururo.2011.07.061,timeout
10.1016/j.toxicon.2015.08.028,timeout
10.1016/j.diagmicrobio.2012.11.020,timeout
10.1093/nar/gkn971,RequestException
10.1111/cei.12545,timeout
10.1128/aac.05451-11,timeout
10.1039/c4cc05830e,RequestException
10.1016/j.jnt.2012.02.021,timeout
10.1016/j.yexcr.2010.06.027,timeout
10.1016/j.actatropica.2012.02.002,timeout
10.1093/mollus/eyr008,RequestException
10.1016/j.ejor.2008.08.010,timeout
10.1016/j.exger.2011.05.004,timeout
10.1016/j.jlumin.2008.12.023,timeout
10.1016/j.eururo.2010.02.003,timeout
10.1016/j.cplett.2010.05.091,timeout
10.1016/j.humpath.2011.12.020,timeout
10.1016/j.cej.2015.01.014,timeout
10.1016/j.laa.2014.02.033,timeout
10.1016/j.cpc.2011.01.011,timeout
10.1016/j.ssc.2010.09.031,timeout
10.1016/j.bmcl.2014.12.042,timeout
10.1016/j.actbio.2011.11.027,timeout
10.1093/ajae/aat115,RequestException
10.1039/c2em30499f,RequestException
10.1016/j.compositesa.2014.01.012,timeout
10.1016/j.jcrimjus.2011.05.001,timeout
10.1016/j.molstruc.2009.09.013,timeout
10.1111/pce.12490,timeout
10.1016/j.crma.2013.01.016,timeout
10.1016/j.matcom.2009.03.011,timeout
10.1016/j.preteyeres.2011.02.002,timeout
10.1088/0022-3727/43/35/354005,timeout
10.1115/1.4000657,timeout
10.1016/j.rse.2015.01.013,timeout
10.1016/j.ijfatigue.2013.11.022,timeout
10.1016/j.matdes.2013.11.020,timeout
10.3168/jds.2013-6977,timeout
10.1088/0953-8984/27/33/335503,timeout
10.1016/j.labeco.2009.08.008,timeout
10.1016/j.jhsa.2009.04.007,timeout
10.1016/j.ymssp.2009.11.009,timeout
10.1016/j.jmapro.2014.01.001,timeout
10.1088/0031-8949/83/01/015802,timeout
10.1051/epjap/2009084,timeout
10.1016/j.transproceed.2012.03.030,timeout
10.1016/j.physb.2014.07.058,timeout
10.1016/j.gyobfe.2009.03.027,timeout
10.1093/europace/eur383,RequestException
10.1039/c2dt30522d,RequestException
10.1002/chir.22143,timeout
10.1002/jbm.b.31915,timeout
10.1016/j.mehy.2011.09.046,timeout
10.1016/j.jag.2015.04.020,timeout
10.5740/jaoacint.10-404,timeout
10.5897/ajmr11.1491,timeout
10.1016/j.cjca.2013.06.015,timeout
10.1016/j.jvlc.2013.07.004,timeout
10.1016/j.amjoto.2014.05.009,timeout
10.1093/geront/gns063,timeout
10.1039/c3cp54118e,RequestException
10.1016/j.cortex.2014.02.026,timeout
10.1038/ki.2011.116,timeout
