Date,Type,Journal,Language post,Field,Link,DOI,Likes,Comments,Shares,Altmetric,Twitter,Facebook,Blogs,Mendeley,Observ.,Other Altmetric/Lang paper
Apr/18/2016,Notícia,Elife,pt,Editoração,http://blog.scielo.org/blog/2017/04/18/resumos-de-pesquisa-em-linguagem-simples-algo-para-todos-originalmente-publicado-no-elife/#.Wek3hBNSx3k, ,51,2,48,0,0,0,0,,"Link p/blog em pt, en, es. Tradução de post do eLife. 127 likes FB no blog.",
Apr/3/2017,Nota,Scielo,pt,Newsletter,http://scielo.us4.list-manage.com/subscribe?u=f26dcf71797dd37381acb4aa5&id=815cbad617, ,5,0,0,,,,0,,,
Apr/7/2017,Notícia,Scielo,pt,Cientometria,http://blog.scielo.org/blog/2017/04/07/estamos-no-radar-do-gsm/#.WekydBNSx3k, ,52,5,52,0,0,0,0,,Link p/blog. Comentários 2 sugestão. Blog 109 likes.,
Aug/11/2017,Notícia,Scielo,pt,Política C&T,http://blog.scielo.org/blog/2017/08/11/a-ciencia-e-fundamentalmente-um-empreendimento-coletivo-esta-coletividade-deve-ser-reconhecida-mais-explicitamente/#.WfDoEEyZN3k, ,46,2,32,0,0,0,0,0,"Link p/blog en,pt, es. 2 comments indicação.",Uso de imagens
Aug/2/2017,Notícia,Scielo,pt,Editoração,http://blog.scielo.org/blog/2017/08/02/texture-um-editor-de-manuscritos-cientificos-aberto-publicado-originalmente-no-periodico-elife-em-julho2017/#.We_L4xNSx3k, ,53,3,8,0,0,0,0,0,"Link p/blog en, pt, es. 32 comments indicação. 283 likes FB blog.",
Aug/29/2017,Notícia,Scielo,pt,Evento,http://blog.scielo.org/blog/2017/08/29/persistencia-e-normalizacao-dos-dados-dominaram-a-agenda-do-iii-curso-de-atualizacao-scielo-scholarone/#.WfDykUyZN3k, ,18,1,0,0,0,0,0,0,"Link p/blog en, pt, es. 81 likes FB blog.",
Aug/7/2017,Nota,Scielo,pt,Newsletter,http://scielo.us4.list-manage.com/subscribe?u=f26dcf71797dd37381acb4aa5&id=815cbad617, ,8,1,1,0,0,0,0,0,Comment indicação.,
Feb/1/2017,Notícia,,pt,Editoração,http://blog.scielo.org/blog/2017/02/01/preprints-o-caminho-a-seguir-para-o-compartilhamento-rapido-e-aberto-do-conhecimento/#.WekX7BNSx3k, ,14,0,11,,,,0,,Link p/blog. 125 likes FB,
Feb/13/2017,release,Ágora: Estudos em Psicanálise,pt,Medicina,http://humanas.blog.scielo.org/blog/2017/02/13/cultura-politica-e-psicanalise-sao-temas-discutidos-pelo-periodico-agora/, ,4,0,0,,,,0,,Link p/blog. Blog link p/edição,
Feb/6/2017,Nota,,pt,Newsletter,http://scielo.us4.list-manage.com/subscribe?u=f26dcf71797dd37381acb4aa5&id=815cbad617, ,3,0,0,,,,0,,,
Feb/8/2017,Notícia,,pt,Editoração,http://blog.scielo.org/blog/2017/02/08/avaliacao-sobre-a-reprodutibilidade-de-resultados-de-pesquisa-traz-mais-perguntas-que-respostas/#.WekcQBNSx3k, ,8,0,3,,,,0,,Link p/blog. 30 likes no blog,
Jan/10/2017,Notícia,,pt,Editoração,http://blog.scielo.org/blog/2017/01/10/aumenta-a-adocao-de-avaliacao-por-pares-aberta/#.WekE0BNSx3k, ,38,6,28,,,,0,,Link p/blog. 4 comentários e 3 indicações,
Jan/16/2017,Notícia,The Conversation,pt,Cientometria,http://blog.scielo.org/blog/2017/01/16/cinco-coisas-a-serem-consideradas-ao-projetar-uma-politica-para-medir-o-impacto-da-pesquisa-originalmente-publicado-no-the-conversation/#.WekT1xNSx3k, ,35,0,12,,,,0,,Link p/blog. Reprodução post The Conversation. Links in es/en/pt,
Jan/24/2017,Notícia,,,Editoração,http://blog.scielo.org/blog/2017/01/24/estudo-avalia-fontes-de-financiamento-para-pagamento-de-taxas-de-processamento-de-artigos-em-acesso-aberto/#.WekVwRNSx3k, ,19,1,8,,,,0,,,
Jan/6/2017,Nota,,pt,Newsletter,http://scielo.us4.list-manage.com/subscribe?u=f26dcf71797dd37381acb4aa5&id=815cbad617, ,7,0,0,,,,0,,,
Jul/10/2017,Nota,Scielo,pt,Newsletter,http://scielo.us4.list-manage.com/subscribe?u=f26dcf71797dd37381acb4aa5&id=815cbad617, ,10,0,0,0,0,0,0,0,,
Jul/20/2017,Notícia,Scielo,pt,Editoração,http://blog.scielo.org/blog/2017/07/20/etica-editorial-outros-tipos-de-plagio-e-contando/#.We_F1hNSx3k, ,145,4,171,0,0,0,0,0,Link p/blog. 1k like FB blog.,
Jul/21/2017,Release,Ensaio: Avaliação e Políticas Públicas em Educação,pt,Educação,http://humanas.blog.scielo.org/blog/2017/07/21/fatores-socioeconomicos-ainda-influenciam-fortemente-a-eficiencia-educacional/, ,10,0,2,0,0,0,0,0,Link p/blog. 16 likes blog. Link p/4 artigos. Ultimos 2 artigos não são da Ensaio,
Jul/26/2017,Notícia,Scielo,pt,Editoração,http://blog.scielo.org/blog/2017/07/26/como-sera-a-avaliacao-por-pares-em-2030/#.We_LIhNSx3k, ,85,1,60,0,0,0,0,0,"Link p/blog en, pt, es. 345 likes FB blog.",
Jun/1/2017,Notícia,Scielo,pt,Cientometria,http://blog.scielo.org/blog/2017/06/01/a-miopia-dos-indicadores-bibliometricos/#.We5HOYZrx3k, ,125,7,191,0,0,0,0,0,Link p/blog. 1.3K likes FB no blog.,
jun/14/2017,Notícia,Scielo,pt,evento,http://blog.scielo.org/blog/2017/06/14/scielo-20-anos-26-28-setembro-2018/#.We-YQRNSx3k, ,83,1,24,0,0,0,0,0,comment indicação.,
